,latitude,longitude,state,station,month,air temperature - dry bulb (°c),geometry
1143,-22.358052,-49.028877,SP,BAURU,5,19.736626344086,POINT (-49.028877 -22.358052)
3527,-16.55388888,-46.88194443,MG,UNAI,5,21.87137660491977,POINT (-46.88194443 -16.55388888)
3623,-15.75222222,-41.45833333,MG,AGUAS VERMELHAS,5,19.85362446366065,POINT (-41.45833333 -15.75222222)
1425,-21.85555555,-48.79972221,SP,IBITINGA,5,18.504166666666666,POINT (-48.79972221 -21.85555555)
1629,-21.546728,-43.261029,MG,CORONEL PACHECO,5,22.276142473118277,POINT (-43.261029 -21.546728)
3369,-17.56138888,-47.19916666,MG,GUARDA-MOR,5,19.798454301075274,POINT (-47.19916666 -17.56138888)
2541,-19.980034,-43.958651,MG,BELO HORIZONTE - CERCADINHO,5,19.90801535742731,POINT (-43.958651 -19.980034)
1725,-21.22888888,-43.76694443,MG,BARBACENA,5,16.561406864210973,POINT (-43.76694443 -21.22888888)
1059,-22.373944,-44.703111,RJ,ITATIAIA,5,8.893682795698927,POINT (-44.703111 -22.373944)
55,-24.671654,-47.545896,SP,IGUAPE,5,20.17358870967742,POINT (-47.545896 -24.671654)
3081,-18.76444444,-44.45361111,MG,CURVELO,5,20.749904681454108,POINT (-44.45361111 -18.76444444)
1095,-22.37249999,-50.97416666,SP,RANCHARIA,5,18.50829471972189,POINT (-50.97416666 -22.37249999)
1473,-21.76999999,-43.36416666,MG,JUIZ DE FORA,5,17.243830953604345,POINT (-43.36416666 -21.76999999)
711,-22.8,-43.68333333,RJ,ECOLOGIA AGRICOLA,5,21.815153852410067,POINT (-43.68333333 -22.8)
305,-23.48333333,-46.61666666,SP,SAO PAULO - MIRANTE,5,18.244643645610008,POINT (-46.61666666 -23.48333333)
759,-22.703132,-47.623317,SP,PIRACICABA,5,20.838978494623657,POINT (-47.623317 -22.703132)
3415,-17.24416666,-46.88166666,MG,PARACATU,5,21.627822580645166,POINT (-46.88166666 -17.24416666)
103,-23.981918,-48.885818,SP,ITAPEVA,5,19.205510752688195,POINT (-48.885818 -23.981918)
3611,-15.80277777,-43.29694444,MG,JANAUBA,5,24.61076695217974,POINT (-43.29694444 -15.80277777)
1749,-21.22638888,-44.97944443,MG,SAO JOAO DEL REI,5,17.35645089447125,POINT (-44.97944443 -21.22638888)
1761,-21.13305554,-48.84055555,SP,ARIRANHA,5,20.268493053921997,POINT (-48.84055555 -21.13305554)
2469,-20.0311111,-46.00861111,MG,BAMBUI,5,18.781394219387067,POINT (-46.00861111 -20.0311111)
3105,-18.71388888,-39.84833333,ES,SAO MATEUS,5,22.83387679781892,POINT (-39.84833333 -18.71388888)
2769,-19.53916666,-49.51805554,MG,CAMPINA VERDE,5,21.235106157742234,POINT (-49.51805554 -19.53916666)
79,-24.53305554,-47.86416666,SP,REGISTRO,5,20.695151078672357,POINT (-47.86416666 -24.53305554)
3427,-16.84888888,-45.03527777,MG,ARACUAI,5,22.985552806350718,POINT (-45.03527777 -16.84888888)
2421,-20.165,-50.59499999,SP,JALES,5,21.811150287735217,POINT (-50.59499999 -20.165)
3333,-17.705504,-42.389256,MG,CAPELINHA,5,19.17533602150537,POINT (-42.389256 -17.705504)
381,-23.22354,-44.726863,RJ,PARATI,5,22.837096774193533,POINT (-44.726863 -23.22354)
293,-23.496294,-46.620088,SP,SAO PAULO - MIRANTE,5,19.07627688172044,POINT (-46.620088 -23.496294)
2409,-20.165025,-50.595134,SP,JALES,5,22.927688172043013,POINT (-50.595134 -20.165025)
2637,-19.73583333,-42.15361111,MG,CARATINGA,5,20.97736398543513,POINT (-42.15361111 -19.73583333)
2457,-20.0311111,-46.00888888,MG,BAMBUI,5,18.731655187981282,POINT (-46.00888888 -20.0311111)
67,-24.533139,-47.864139,SP,REGISTRO,5,21.652419354838695,POINT (-47.864139 -24.533139)
3647,-15.723139,-42.435756,MG,RIO PARDO DE MINAS,5,20.589986559139764,POINT (-42.435756 -15.723139)
843,-22.64583333,-42.41583333,RJ,SILVA JARDIM,5,21.285797491039407,POINT (-42.41583333 -22.64583333)
3045,-18.78666666,-42.94305555,MG,GUANHAES,5,18.73074558743855,POINT (-42.94305555 -18.78666666)
639,-22.867389,-43.102056,RJ,NITEROI,5,23.369220430107493,POINT (-43.102056 -22.867389)
3819,-14.91222222,-42.80861111,MG,ESPINOSA,5,24.61904653724432,POINT (-42.80861111 -14.91222222)
1497,-21.71666666,-41.35,RJ,CAMPOS,5,22.11447150502383,POINT (-41.35 -21.71666666)
1377,-21.92722221,-50.49027777,SP,TUPA,5,22.2168147653718,POINT (-50.49027777 -21.92722221)
2433,-20.10416666,-41.10694444,ES,AFONSO CLAUDIO,5,20.620750391493242,POINT (-41.10694444 -20.10416666)
